,Fecha,Tweet_texto,Nombre_cuenta,Hora
0,2023-01-09 09:45:01,"Cuánto ahorraríamos en dinero, energía y contaminación si de verdad se implantara el teletrabajo https://t.co/rlxn2NJsN0",niebla004,9
1,2023-01-09 09:39:04,"📣 Hoy se publican las ayudas #SmartIslands para incentivar la energía sostenible en las islas #Baleares y #Canarias, llevadas a cabo por el #IDAE y con una cuantía de 175.000.000€.

👉 Contáctanos para más información: https://t.co/MuzIMA8YX8 https://t.co/j5WJWJB1u6",EvolutionH2020,9
2,2023-01-09 09:26:14,"Hidróxeno barato e sostible gracias á enerxía solar
Hidrógeno barato y sostenible gracias a la energía solar
https://t.co/7bdNOUAXVR",FSotavento,9
3,2023-01-09 09:15:12,VÍDEO | Hidrógeno barato y sostenible gracias a la energía solar https://t.co/DPFHG2FxyR,Per_Energia,9
4,2023-01-09 09:02:56,"Ya estamos de vuelta, con mucha energía y nuevos proyectos. ¿Te sumas?
¡Por un 2023 más inclusivo y sostenible!
#UActivacontralaVG
#voluntariadoVG https://t.co/4hze6mOYx3",VriirsUa,9
5,2023-01-09 09:00:31,"SOSTENIBLE: En su carrera por las #bateríaseléctricas sostenibles, la industria tiene una nueva esperanza: madera. https://t.co/L9b1y18S3B",MetricaConsult,9
6,2023-01-09 08:57:13,"Hidrógeno barato y sostenible gracias a la energía solar, via @Per_Energia : https://t.co/6OMkBAUeDN",AEGranada,8
7,2023-01-09 08:30:12,VÍDEO | Hidrógeno barato y sostenible gracias a la energía solar https://t.co/RLnwYZx4FN https://t.co/TIzcsSCFlj,Per_Energia,8
8,2023-01-09 08:27:11,"Cuánto ahorraríamos en dinero, energía y contaminación si de verdad se implantara el teletrabajo https://t.co/GUNmdVL5gT por  @dariopes",ConsumoClaro,8
9,2023-01-09 08:00:00,Que tu reto aporte energía sostenible para este mundo - Revista Psicología Práctica Nº 205 https://t.co/yZGrSMeUI2 https://t.co/0jSr3uPdTN,Maryam_Varela,8
10,2023-01-09 07:59:48,"Cuánto ahorraríamos en dinero, energía y contaminación si de verdad se implantara el teletrabajo https://t.co/eI8w2JfO1h a través de @consumoclaro",uniformado1,7
11,2023-01-09 07:56:01,"No podemos estar más de acuerdo con @EdRojasBr 
#biomasa = energía renovable universal y sostenible, democrática y dinamizadora del medio rural
#gsf #agrobiomasa #subproductos #economia_circular #bioeconomia #empleo #espana_vaciada #despoblacion https://t.co/B7CuGLz672",AVEBIOM,7
12,2023-01-09 06:50:43,"@TRUMPFinc  logra que la #fabricacion de chapa metálica sea más sencilla, productiva y sostenible:
lanzó en @EuroBLECH_en  nuevas tecnologías para reducir el consumo de energía y materiales https://t.co/RT6EFvTyru https://t.co/yZzoeIrM0I",izarotech,6
13,2023-01-09 06:50:43,"@TRUMPFinc  logra que la #fabricacion de chapa metálica sea más sencilla, productiva y sostenible:
lanzó en @EuroBLECH_en  nuevas tecnologías para reducir el consumo de energía y materiales https://t.co/RT6EFvTyru https://t.co/yZzoeIrM0I",izarotech,6
14,2023-01-09 05:30:33,"Cuánto ahorraríamos en dinero, energía y contaminación si de verdad se implantara el teletrabajo https://t.co/fmU847wjX2",infoteletrabajo,5
15,2023-01-09 02:41:08,"@titadelaparra No sólo es el tema de la naturaleza, sino las oportunidades que brinda el cambio de paradigma.

Por ejem., movilidad sostenible no solo es sin emisiones, sino una segura, accesible, asequible  inclusiva, justa y resiliente.

El texto lo ejemplifica en el tema de energía renovabl",ppsalazar2,2
16,2023-01-09 02:15:32,#discoduro 🔘 La vida sostenible sube de nivel en los nuevos electrodomésticos #CES2023 #Energía #Hogar #Lanzamiento Dale ♥️ abre el link Sigue leyendo... https://t.co/47M7DP6UPT Dale ♥️ abre el link,discoduro,2
17,2023-01-08 21:45:00,"#EstaSemana🧐| En una gira por EE.UU., las organizaciones visitaron distintas ciudades y entidades líderes en la respuesta a desafíos ambientales relacionados con gestión de sistemas dulceacuícolas, energía y la resiliencia ambiental al cambio climático https://t.co/oWjj9B2VgP https://t.co/yiUK20Hr9f",CodeXverde,21
18,2023-01-08 20:57:00,"El 2023 empieza con deberes climáticos. 
Para cumplir con los objetivos, el despliegue de las renovables debería ser el doble de rápido y el consumo de energía debería reducirse sustancialmente
https://t.co/MIDR6xSlOF",helenaancos,20
